simulation_id,network_size,seed_size,periods,simulation_period,state_count_stop,state_count_waiting,state_count_read,state_count_shared
8,10000,100,25,1,100,4912,4988,0
8,10000,100,25,2,100,2281,7440,179
8,10000,100,25,3,100,1064,8355,481
8,10000,100,25,4,100,467,8608,825
8,10000,100,25,5,100,182,8538,1180
8,10000,100,25,6,100,79,8274,1547
8,10000,100,25,7,100,33,8012,1855
8,10000,100,25,8,100,19,7720,2161
8,10000,100,25,9,100,11,7420,2469
8,10000,100,25,10,100,7,7099,2794
8,10000,100,25,11,100,4,6820,3076
8,10000,100,25,12,100,2,6553,3345
8,10000,100,25,13,100,2,6322,3576
8,10000,100,25,14,100,0,6088,3812
8,10000,100,25,15,100,0,5882,4018
8,10000,100,25,16,100,0,5684,4216
8,10000,100,25,17,100,0,5483,4417
8,10000,100,25,18,100,0,5327,4573
8,10000,100,25,19,100,0,5150,4750
8,10000,100,25,20,100,0,4959,4941
8,10000,100,25,21,100,0,4794,5106
8,10000,100,25,22,100,0,4607,5293
8,10000,100,25,23,100,0,4439,5461
8,10000,100,25,24,100,0,4276,5624
8,10000,100,25,25,100,0,4137,5763
8,10000,100,25,25,100,0,4137,5763
9,10000,100,25,0,100,9900,0,0
9,10000,100,25,1,100,4943,4957,0
9,10000,100,25,2,100,2248,7459,193
9,10000,100,25,3,100,993,8437,470
9,10000,100,25,4,100,420,8663,817
9,10000,100,25,5,100,196,8511,1193
9,10000,100,25,6,100,81,8277,1542
9,10000,100,25,7,100,40,7996,1864
9,10000,100,25,8,100,17,7709,2174
9,10000,100,25,9,100,6,7432,2462
9,10000,100,25,10,100,5,7140,2755
9,10000,100,25,11,100,3,6900,2997
9,10000,100,25,12,100,2,6627,3271
9,10000,100,25,13,100,0,6405,3495
9,10000,100,25,14,100,0,6173,3727
9,10000,100,25,15,100,0,5941,3959
9,10000,100,25,16,100,0,5687,4213
9,10000,100,25,17,100,0,5474,4426
9,10000,100,25,18,100,0,5281,4619
9,10000,100,25,19,100,0,5071,4829
9,10000,100,25,20,100,0,4903,4997
9,10000,100,25,21,100,0,4748,5152
9,10000,100,25,22,100,0,4603,5297
9,10000,100,25,23,100,0,4437,5463
9,10000,100,25,24,100,0,4265,5635
9,10000,100,25,25,100,0,4134,5766
9,10000,100,25,25,100,0,4134,5766
10,10000,100,25,0,100,9900,0,0
10,10000,100,25,1,100,4969,4931,0
10,10000,100,25,2,100,2299,7419,182
10,10000,100,25,3,100,965,8409,526
10,10000,100,25,4,100,429,8627,844
10,10000,100,25,5,100,189,8489,1222
10,10000,100,25,6,100,77,8252,1571
10,10000,100,25,7,100,33,7970,1897
10,10000,100,25,8,100,22,7705,2173
10,10000,100,25,9,100,10,7401,2489
10,10000,100,25,10,100,2,7105,2793
10,10000,100,25,11,100,2,6845,3053
10,10000,100,25,12,100,0,6602,3298
10,10000,100,25,13,100,0,6361,3539
10,10000,100,25,14,100,0,6123,3777
10,10000,100,25,15,100,0,5894,4006
10,10000,100,25,16,100,0,5666,4234
10,10000,100,25,17,100,0,5510,4390
10,10000,100,25,18,100,0,5300,4600
10,10000,100,25,19,100,0,5116,4784
10,10000,100,25,20,100,0,4949,4951
10,10000,100,25,21,100,0,4785,5115
10,10000,100,25,22,100,0,4592,5308
10,10000,100,25,23,100,0,4453,5447
10,10000,100,25,24,100,0,4311,5589
10,10000,100,25,25,100,0,4177,5723
10,10000,100,25,25,100,0,4177,5723
11,10000,100,25,0,100,9900,0,0
11,10000,100,25,1,100,5028,4872,0
11,10000,100,25,2,100,2284,7431,185
11,10000,100,25,3,100,989,8432,479
11,10000,100,25,4,100,400,8687,813
11,10000,100,25,5,100,162,8579,1159
11,10000,100,25,6,100,69,8359,1472
11,10000,100,25,7,100,22,8036,1842
11,10000,100,25,8,100,7,7720,2173
11,10000,100,25,9,100,4,7456,2440
11,10000,100,25,10,100,2,7189,2709
11,10000,100,25,11,100,0,6915,2985
11,10000,100,25,12,100,0,6647,3253
11,10000,100,25,13,100,0,6385,3515
11,10000,100,25,14,100,0,6177,3723
11,10000,100,25,15,100,0,5927,3973
11,10000,100,25,16,100,0,5693,4207
11,10000,100,25,17,100,0,5499,4401
11,10000,100,25,18,100,0,5328,4572
11,10000,100,25,19,100,0,5154,4746
11,10000,100,25,20,100,0,4966,4934
11,10000,100,25,21,100,0,4786,5114
11,10000,100,25,22,100,0,4602,5298
11,10000,100,25,23,100,0,4432,5468
11,10000,100,25,24,100,0,4289,5611
11,10000,100,25,25,100,0,4137,5763
11,10000,100,25,25,100,0,4137,5763
12,10000,100,25,0,100,9900,0,0
12,10000,100,25,1,100,4936,4964,0
12,10000,100,25,2,100,2259,7460,181
12,10000,100,25,3,100,969,8445,486
12,10000,100,25,4,100,407,8654,839
12,10000,100,25,5,100,174,8539,1187
12,10000,100,25,6,100,80,8298,1522
12,10000,100,25,7,100,36,7999,1865
12,10000,100,25,8,100,12,7690,2198
12,10000,100,25,9,100,6,7360,2534
12,10000,100,25,10,100,2,7061,2837
12,10000,100,25,11,100,1,6766,3133
12,10000,100,25,12,100,0,6510,3390
12,10000,100,25,13,100,0,6267,3633
12,10000,100,25,14,100,0,6040,3860
12,10000,100,25,15,100,0,5838,4062
12,10000,100,25,16,100,0,5621,4279
12,10000,100,25,17,100,0,5423,4477
12,10000,100,25,18,100,0,5214,4686
12,10000,100,25,19,100,0,5041,4859
12,10000,100,25,20,100,0,4856,5044
12,10000,100,25,21,100,0,4692,5208
12,10000,100,25,22,100,0,4549,5351
12,10000,100,25,23,100,0,4387,5513
12,10000,100,25,24,100,0,4220,5680
12,10000,100,25,25,100,0,4080,5820
12,10000,100,25,25,100,0,4080,5820
13,10000,100,25,0,100,9900,0,0
13,10000,100,25,1,100,4975,4925,0
13,10000,100,25,2,100,2250,7443,207
13,10000,100,25,3,100,980,8434,486
13,10000,100,25,4,100,409,8639,852
13,10000,100,25,5,100,162,8543,1195
13,10000,100,25,6,100,73,8341,1486
13,10000,100,25,7,100,34,8074,1792
13,10000,100,25,8,100,15,7802,2083
13,10000,100,25,9,100,10,7527,2363
13,10000,100,25,10,100,5,7265,2630
13,10000,100,25,11,100,5,6995,2900
13,10000,100,25,12,100,1,6725,3174
13,10000,100,25,13,100,1,6506,3393
13,10000,100,25,14,100,1,6225,3674
13,10000,100,25,15,100,1,5998,3901
13,10000,100,25,16,100,1,5769,4130
13,10000,100,25,17,100,0,5576,4324
13,10000,100,25,18,100,0,5381,4519
13,10000,100,25,19,100,0,5218,4682
13,10000,100,25,20,100,0,5016,4884
13,10000,100,25,21,100,0,4827,5073
13,10000,100,25,22,100,0,4654,5246
13,10000,100,25,23,100,0,4484,5416
13,10000,100,25,24,100,0,4323,5577
13,10000,100,25,25,100,0,4164,5736
13,10000,100,25,25,100,0,4164,5736
14,10000,100,25,0,100,9900,0,0
14,10000,100,25,1,100,4848,5052,0
14,10000,100,25,2,100,2219,7443,238
14,10000,100,25,3,100,943,8427,530
14,10000,100,25,4,100,405,8604,891
14,10000,100,25,5,100,174,8485,1241
14,10000,100,25,6,100,73,8199,1628
14,10000,100,25,7,100,34,7907,1959
14,10000,100,25,8,100,15,7611,2274
14,10000,100,25,9,100,8,7340,2552
14,10000,100,25,10,100,4,7022,2874
14,10000,100,25,11,100,1,6748,3151
14,10000,100,25,12,100,0,6490,3410
14,10000,100,25,13,100,0,6257,3643
14,10000,100,25,14,100,0,6000,3900
14,10000,100,25,15,100,0,5791,4109
14,10000,100,25,16,100,0,5586,4314
14,10000,100,25,17,100,0,5386,4514
14,10000,100,25,18,100,0,5195,4705
14,10000,100,25,19,100,0,4966,4934
14,10000,100,25,20,100,0,4775,5125
14,10000,100,25,21,100,0,4595,5305
14,10000,100,25,22,100,0,4409,5491
14,10000,100,25,23,100,0,4253,5647
14,10000,100,25,24,100,0,4102,5798
14,10000,100,25,25,100,0,3979,5921
14,10000,100,25,25,100,0,3979,5921
15,10000,100,25,0,100,9900,0,0
15,10000,100,25,1,100,5072,4828,0
15,10000,100,25,2,100,2261,7444,195
15,10000,100,25,3,100,938,8446,516
15,10000,100,25,4,100,372,8652,876
15,10000,100,25,5,100,151,8515,1234
15,10000,100,25,6,100,70,8267,1563
15,10000,100,25,7,100,32,7929,1939
15,10000,100,25,8,100,16,7647,2237
15,10000,100,25,9,100,7,7353,2540
15,10000,100,25,10,100,1,7070,2829
15,10000,100,25,11,100,0,6785,3115
15,10000,100,25,12,100,0,6536,3364
15,10000,100,25,13,100,0,6316,3584
15,10000,100,25,14,100,0,6090,3810
15,10000,100,25,15,100,0,5881,4019
15,10000,100,25,16,100,0,5693,4207
15,10000,100,25,17,100,0,5479,4421
15,10000,100,25,18,100,0,5321,4579
15,10000,100,25,19,100,0,5116,4784
15,10000,100,25,20,100,0,4941,4959
15,10000,100,25,21,100,0,4778,5122
15,10000,100,25,22,100,0,4628,5272
15,10000,100,25,23,100,0,4468,5432
15,10000,100,25,24,100,0,4310,5590
15,10000,100,25,25,100,0,4155,5745
15,10000,100,25,25,100,0,4155,5745
16,10000,100,25,0,100,9900,0,0
16,10000,100,25,1,100,4997,4903,0
16,10000,100,25,2,100,2331,7392,177
16,10000,100,25,3,100,1031,8378,491
16,10000,100,25,4,100,404,8660,836
16,10000,100,25,5,100,176,8562,1162
16,10000,100,25,6,100,68,8312,1520
16,10000,100,25,7,100,27,8006,1867
16,10000,100,25,8,100,12,7725,2163
16,10000,100,25,9,100,6,7409,2485
16,10000,100,25,10,100,2,7160,2738
16,10000,100,25,11,100,0,6869,3031
16,10000,100,25,12,100,0,6627,3273
16,10000,100,25,13,100,0,6359,3541
16,10000,100,25,14,100,0,6086,3814
16,10000,100,25,15,100,0,5863,4037
16,10000,100,25,16,100,0,5647,4253
16,10000,100,25,17,100,0,5455,4445
16,10000,100,25,18,100,0,5252,4648
16,10000,100,25,19,100,0,5063,4837
16,10000,100,25,20,100,0,4905,4995
16,10000,100,25,21,100,0,4746,5154
16,10000,100,25,22,100,0,4601,5299
16,10000,100,25,23,100,0,4458,5442
16,10000,100,25,24,100,0,4302,5598
16,10000,100,25,25,100,0,4182,5718
16,10000,100,25,25,100,0,4182,5718
17,10000,100,25,0,100,9900,0,0
17,10000,100,25,1,100,4970,4930,0
17,10000,100,25,2,100,2249,7429,222
17,10000,100,25,3,100,944,8426,530
17,10000,100,25,4,100,414,8584,902
17,10000,100,25,5,100,174,8455,1271
17,10000,100,25,6,100,70,8193,1637
17,10000,100,25,7,100,28,7922,1950
17,10000,100,25,8,100,11,7632,2257
17,10000,100,25,9,100,5,7338,2557
17,10000,100,25,10,100,1,7085,2814
17,10000,100,25,11,100,1,6814,3085
17,10000,100,25,12,100,1,6553,3346
17,10000,100,25,13,100,1,6315,3584
17,10000,100,25,14,100,1,6094,3805
17,10000,100,25,15,100,0,5877,4023
17,10000,100,25,16,100,0,5663,4237
17,10000,100,25,17,100,0,5432,4468
17,10000,100,25,18,100,0,5230,4670
17,10000,100,25,19,100,0,5048,4852
17,10000,100,25,20,100,0,4863,5037
17,10000,100,25,21,100,0,4703,5197
17,10000,100,25,22,100,0,4502,5398
17,10000,100,25,23,100,0,4354,5546
17,10000,100,25,24,100,0,4188,5712
17,10000,100,25,25,100,0,4021,5879
17,10000,100,25,25,100,0,4021,5879
18,10000,100,25,0,100,9900,0,0
18,10000,100,25,1,100,4946,4954,0
18,10000,100,25,2,100,2251,7455,194
18,10000,100,25,3,100,953,8444,503
18,10000,100,25,4,100,369,8662,869
18,10000,100,25,5,100,173,8547,1180
18,10000,100,25,6,100,84,8278,1538
18,10000,100,25,7,100,36,7979,1885
18,10000,100,25,8,100,17,7700,2183
18,10000,100,25,9,100,5,7399,2496
18,10000,100,25,10,100,3,7069,2828
18,10000,100,25,11,100,0,6803,3097
18,10000,100,25,12,100,0,6539,3361
18,10000,100,25,13,100,0,6335,3565
18,10000,100,25,14,100,0,6083,3817
18,10000,100,25,15,100,0,5883,4017
18,10000,100,25,16,100,0,5691,4209
18,10000,100,25,17,100,0,5481,4419
18,10000,100,25,18,100,0,5324,4576
18,10000,100,25,19,100,0,5117,4783
18,10000,100,25,20,100,0,4946,4954
18,10000,100,25,21,100,0,4745,5155
18,10000,100,25,22,100,0,4566,5334
18,10000,100,25,23,100,0,4423,5477
18,10000,100,25,24,100,0,4264,5636
18,10000,100,25,25,100,0,4100,5800
18,10000,100,25,25,100,0,4100,5800
19,10000,100,25,0,100,9900,0,0
19,10000,100,25,1,100,4948,4952,0
19,10000,100,25,2,100,2277,7433,190
19,10000,100,25,3,100,995,8426,479
19,10000,100,25,4,100,393,8677,830
19,10000,100,25,5,100,182,8547,1171
19,10000,100,25,6,100,74,8268,1558
19,10000,100,25,7,100,24,8031,1845
19,10000,100,25,8,100,7,7726,2167
19,10000,100,25,9,100,4,7429,2467
19,10000,100,25,10,100,0,7110,2790
19,10000,100,25,11,100,0,6846,3054
19,10000,100,25,12,100,0,6569,3331
19,10000,100,25,13,100,0,6352,3548
19,10000,100,25,14,100,0,6110,3790
19,10000,100,25,15,100,0,5855,4045
19,10000,100,25,16,100,0,5645,4255
19,10000,100,25,17,100,0,5443,4457
19,10000,100,25,18,100,0,5263,4637
